,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
17,042660,KR7042660001,한화오션,KOSPI,,142000,2,-1100,-0.77,144200,144300,141000,1220639,173982614450,43510701948000,306413394,STK
18,012330,KR7012330007,현대모비스,KOSPI,,469500,1,16500,3.64,457000,475000,452500,712489,332510257500,42598947718500,90732583,STK
19,006800,KR7006800007,미래에셋증권,KOSPI,,72900,1,5800,8.64,71100,75900,68400,8684646,628300953050,41340550008600,567085734,STK
20,015760,KR7015760002,한국전력,KOSPI,,64300,1,1500,2.39,64100,65300,63400,3153351,203344699700,41278290151100,641964077,STK
21,035420,KR7035420009,NAVER,KOSPI,,253000,2,-2000,-0.78,255500,256000,251000,937503,237242459750,39683717414000,156852638,STK
22,267260,KR7267260008,HD현대일렉트릭,KOSPI,,1065000,2,-5000,-0.47,1096000,1097000,1049000,157891,168641300000,38390198775000,36047135,STK
23,086790,KR7086790003,하나금융지주,KOSPI,,126000,2,-100,-0.08,125200,127500,123900,898808,113285910358,35069052564000,278325814,STK
24,006400,KR7006400006,삼성SDI,KOSPI,,433000,1,11500,2.73,422000,443500,415000,1253279,539046448000,34893534490000,80585530,STK
25,009150,KR7009150004,삼성전기,KOSPI,,465000,1,19000,4.26,469000,471500,452000,1024495,473107759350,34732568640000,74693696,STK
26,009540,KR7009540006,HD한국조선해양,KOSPI,,467500,1,10000,2.19,458000,473000,456000,292537,136637958500,33086431730000,70773116,STK
27,005490,KR7005490008,POSCO홀딩스,KOSPI,,406500,1,7000,1.75,401000,410500,395000,558243,225295245750,32899244988000,80932952,STK
28,034730,KR7034730002,SK,KOSPI,,409000,1,16500,4.2,400000,417000,392000,332208,134783233250,29653605527000,72502703,STK
29,316140,KR7316140003,우리금융지주,KOSPI,,39000,2,-100,-0.26,38300,39400,38300,3109952,120831180465,28628976480000,734076320,STK
30,051910,KR7051910008,LG화학,KOSPI,,387500,1,37000,10.56,353000,401500,347500,1099978,422499343500,27354532912500,70592343,STK
31,298040,KR7298040007,효성중공업,KOSPI,,2763000,1,5000,0.18,2815000,2869000,2750000,43236,120761193500,25763726124000,9324548,STK
32,010140,KR7010140002,삼성중공업,KOSPI,,28950,2,-50,-0.17,29300,29300,28800,3242793,94130520225,25476000000000,880000000,STK
33,035720,KR7035720002,카카오,KOSPI,,57400,2,-500,-0.86,58000,58000,57200,2078203,119307590600,25405565400600,442605669,STK
34,000810,KR7000810002,삼성화재,KOSPI,,548000,2,-5000,-0.9,544000,557000,536000,167983,91872529500,25214112940000,46011155,STK
35,064350,KR7064350002,현대로템,KOSPI,,222500,1,1000,0.45,221000,224500,217500,730341,161682889750,24284160192500,109142293,STK
36,267250,KR7267250009,HD현대,KOSPI,,298000,1,2500,0.85,297500,300500,288000,214720,63230550000,23539939330000,78993085,STK
37,138040,KR7138040001,메리츠금융지주,KOSPI,,133500,2,-1400,-1.04,135200,136700,132200,419644,56291127450,23392106695500,175221773,STK
38,010120,KR7010120004,LS ELECTRIC,KOSPI,,753000,1,7000,0.94,773000,778000,748000,196647,150280447000,22590000000000,30000000,STK
39,096770,KR7096770003,SK이노베이션,KOSPI,,131200,2,-6500,-4.72,136300,136400,130000,945606,125322524100,22179725785600,169052788,STK
40,011200,KR7011200003,HMM,KOSPI,,23450,1,500,2.18,22950,23900,22800,3221427,75587821525,22118930396500,943237970,STK
41,003670,KR7003670007,포스코퓨처엠,KOSPI,,246000,1,10000,4.24,237000,254000,232000,781807,191264242750,21880770120000,88946220,STK
42,066570,KR7066570003,LG전자,KOSPI,,133300,2,-1200,-0.89,134400,134400,131200,1265443,168214437150,21712755387100,162886387,STK
43,024110,KR7024110009,기업은행,KOSPI,,26600,1,250,0.95,26700,26900,26350,1138851,30331413725,21211528115400,797425869,STK
44,033780,KR7033780008,KT&G,KOSPI,,179700,1,6300,3.63,172800,181500,171000,536213,95192394850,21200403106500,117976645,STK
45,272210,KR7272210006,한화시스템,KOSPI,,111400,1,600,0.54,110300,112000,107700,1007068,111138129450,21045619934600,188919389,STK
46,086280,KR7086280005,현대글로비스,KOSPI,,280500,1,11000,4.08,272000,295000,270500,797233,227298921000,21037500000000,75000000,STK
47,042700,KR7042700005,한미반도체,KOSPI,,214500,1,4500,2.14,210500,215500,208000,1064978,226356293250,20444466900000,95312200,STK
48,000150,KR7000150003,두산,KOSPI,,1165000,1,64000,5.81,1111000,1189000,1103000,152619,176146773000,18865817775000,16193835,STK
49,047810,KR7047810007,한국항공우주,KOSPI,,182500,2,-1100,-0.6,183000,185200,180600,614231,112011546950,17789207027500,97475107,STK
50,017670,KR7017670001,SK텔레콤,KOSPI,,81000,1,100,0.12,81000,81400,79600,976090,78687974800,17397994293000,214790053,STK
51,000720,KR7000720003,현대건설,KOSPI,,155200,1,16700,12.06,140500,159800,139400,2922470,446878836600,17282414728000,111355765,STK
52,352820,KR7352820005,하이브,KOSPI,,396500,2,-2500,-0.63,396500,401500,394000,272158,107844974750,17065155802500,43039485,STK
53,0126Z0,KR70126Z0002,삼성에피스홀딩스,KOSPI,,673000,2,-1000,-0.15,671000,685000,666000,104405,70232273000,16746291977000,24883049,STK
54,030200,KR7030200000,KT,KOSPI,,65500,2,-200,-0.3,65700,66200,64500,523510,34570243200,16507420367500,252021685,STK
55,003550,KR7003550001,LG,KOSPI,,99900,2,-100,-0.1,99900,101400,99000,521653,52197096350,15406736341500,154221585,STK
56,071050,KR7071050009,한국금융지주,KOSPI,,270000,1,2000,0.75,273000,273000,262500,362984,97565269750,15046017840000,55725992,STK
57,018260,KR7018260000,삼성에스디에스,KOSPI,,178700,1,4000,2.29,175600,179800,173200,318940,56301787600,13827412860000,77377800,STK
58,307950,KR7307950006,현대오토에버,KOSPI,,495000,1,62500,14.45,442500,530000,441000,1270989,630880005500,13574871090000,27423982,STK
59,005830,KR7005830005,DB손해보험,KOSPI,,195200,2,-800,-0.41,196000,198800,190700,319317,62399781350,13543756800000,69384000,STK
60,323410,KR7323410001,카카오뱅크,KOSPI,,28000,2,-450,-1.58,28450,28450,27750,1251559,35177998050,13357160236000,477041437,STK
61,047050,KR7047050000,포스코인터내셔널,KOSPI,,75500,1,2100,2.86,73900,77200,72600,826143,62355140600,13282170494000,175922788,STK
62,005940,KR7005940002,NH투자증권,KOSPI,,36400,3,0,0.0,37300,37350,36000,1570132,57552443125,12970935031600,356344369,STK
63,010950,KR7010950004,S-Oil,KOSPI,,112600,2,-1500,-1.31,114400,114900,112000,265424,29945311100,12676822379200,112582792,STK
64,039490,KR7039490008,키움증권,KOSPI,,467500,1,9500,2.07,465000,474500,455500,144230,67176461750,12674928722500,27112147,STK
65,259960,KR7259960003,크래프톤,KOSPI,,266000,1,1000,0.38,268000,268500,261000,126736,33711104250,12609419046000,47403831,STK
66,180640,KR7180640005,한진칼,KOSPI,,173000,1,11600,7.19,158500,175600,148000,196751,32383588350,11549874267000,66762279,STK
67,278470,KR7278470000,에이피알,KOSPI,,302000,1,7000,2.37,298000,306000,294500,485607,145989116000,11304812810000,37433155,STK
68,079550,KR7079550000,LIG넥스원,KOSPI,,509000,2,-12000,-2.3,517000,524000,503000,182901,93952322500,11198000000000,22000000,STK
69,005387,KR7005382007,현대차2우B,KOSPI,,307500,1,20000,6.96,290000,307500,289500,391144,118028365752,10751408475000,34963930,STK
70,003490,KR7003490000,대한항공,KOSPI,,28950,1,2450,9.25,27000,29750,26600,10295703,295752347550,10659988135950,368220661,STK
71,000880,KR7000880005,한화,KOSPI,,139100,1,7100,5.38,131500,144100,130500,1094404,150912742500,10426760038500,74958735,STK
72,016360,KR7016360000,삼성증권,KOSPI,,110100,1,2200,2.04,110500,112200,107400,643622,70881423700,9831930000000,89300000,STK
73,003230,KR7003230000,삼양식품,KOSPI,,1243000,1,11000,0.89,1239000,1249000,1210000,45966,56649991000,9363537645000,7533015,STK
74,006260,KR7006260004,LS,KOSPI,,291500,1,9000,3.19,292000,298500,281500,237838,69150542250,9240550000000,31700000,STK
75,326030,KR7326030004,SK바이오팜,KOSPI,,117700,2,-800,-0.68,118900,119000,117100,156434,18424993200,9217469525000,78313250,STK
76,161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,74300,2,-800,-1.07,75000,75500,73900,531284,39591186950,9203917626700,123875069,STK
77,090430,KR7090430000,아모레퍼시픽,KOSPI,,157000,2,-700,-0.44,157600,158100,154200,231987,36290800350,9183363163000,58492759,STK
78,000100,KR7000100008,유한양행,KOSPI,,113100,2,-500,-0.44,113600,113700,112100,263150,29672485300,9008143673100,79647601,STK
79,009830,KR7009830001,한화솔루션,KOSPI,,51600,1,700,1.38,51300,53000,49800,4220990,217585630025,8869654857600,171892536,STK
80,377300,KR7377300009,카카오페이,KOSPI,,64100,2,-2300,-3.46,65600,65700,63400,593917,38065137950,8663196407000,135151270,STK
81,007660,KR7007660004,이수페타시스,KOSPI,,116100,1,4200,3.75,117000,120000,113000,2561430,301421460050,8522810325900,73409219,STK
82,443060,KR7443060009,HD현대마린솔루션,KOSPI,,186800,1,4200,2.3,185100,187800,182800,153926,28608633350,8374493378000,44831335,STK
83,128940,KR7128940004,한미약품,KOSPI,,591000,2,-25000,-4.06,613000,616000,587000,128191,76589366500,7571295681000,12810991,STK
84,032640,KR7032640005,LG유플러스,KOSPI,,17400,1,30,0.17,17400,17600,17150,821327,14342439660,7479013377000,429828355,STK
85,034220,KR7034220004,LG디스플레이,KOSPI,,14820,1,760,5.41,14070,15120,14070,16251484,240903218015,7410000000000,500000000,STK
86,028050,KR7028050003,삼성E&A,KOSPI,,37650,1,1150,3.15,37100,38700,36600,1287750,48425902125,7379400000000,196000000,STK
87,029780,KR7029780004,삼성카드,KOSPI,,63400,2,-600,-0.94,64000,64500,62500,125445,7956455500,7345453689400,115858891,STK
88,005385,KR7005381009,현대차우,KOSPI,,303500,1,19500,6.87,286500,303500,285000,290762,86819854961,7083981360000,23340960,STK
89,454910,KR7454910001,두산로보틱스,KOSPI,,107300,1,1600,1.51,106600,107300,104000,12043958,984077180200,6955183854000,64819980,STK
90,064400,KR7064400005,LG씨엔에스,KOSPI,,71500,1,1400,2.0,70600,72900,69600,994773,70866166300,6927345282000,96885948,STK
91,078930,KR7078930005,GS,KOSPI,,73300,1,300,0.41,73400,74700,72700,350856,25839509100,6810697207400,92915378,STK
92,267270,KR7267270007,HD건설기계,KOSPI,,141900,2,-100,-0.07,142300,143700,138200,360701,51035441000,6807527344200,47974118,STK
93,011070,KR7011070000,LG이노텍,KOSPI,,287500,1,11000,3.98,280500,294500,275000,326274,93545994500,6804293262500,23667107,STK
94,138930,KR7138930003,BNK금융지주,KOSPI,,21750,2,-50,-0.23,21800,22100,21600,1887550,41186645575,6749612967750,310327033,STK
95,052690,KR7052690005,한전기술,KOSPI,,168200,1,7700,4.8,166600,171800,162700,520936,87372899450,6428604000000,38220000,STK
96,001040,KR7001040005,CJ,KOSPI,,220000,2,-2000,-0.9,221500,225500,217000,123001,27195432500,6418939560000,29176998,STK
97,175330,KR7175330000,JB금융지주,KOSPI,,33650,2,-500,-1.46,34550,34600,33250,977636,33016941350,6389616823650,189884601,STK
98,001440,KR7001440007,대한전선,KOSPI,,34000,1,100,0.29,35400,36350,33900,7830167,271629260650,6339208200000,186447300,STK
99,241560,KR7241560002,두산밥캣,KOSPI,,64800,2,-600,-0.92,66000,66100,64000,556788,36070828650,6211473012000,95856065,STK
100,021240,KR7021240007,코웨이,KOSPI,,83800,2,-1300,-1.53,85200,86000,83000,780453,65518623550,6025985345400,71909133,STK
101,002380,KR7002380004,KCC,KOSPI,,675000,1,64000,10.47,620000,692000,618000,66989,44543094500,5998367925000,8886471,STK
102,022100,KR7022100002,포스코DX,KOSPI,,39250,1,1500,3.97,38350,39800,37900,882712,34331967100,5967363113250,152034729,STK
103,271560,KR7271560005,오리온,KOSPI,,141000,1,3600,2.62,137100,141900,135600,129029,18011396550,5574594612000,39536132,STK
104,088980,KR7088980008,맥쿼리인프라,KOSPI,,11530,2,-80,-0.69,11600,11660,11510,1974537,22853550110,5521970579290,478921993,STK
105,036570,KR7036570000,엔씨소프트,KOSPI,,237500,1,7500,3.26,231000,237500,229000,133761,31329388000,5116705225000,21544022,STK
106,004020,KR7004020004,현대제철,KOSPI,,38150,1,1300,3.53,37500,38850,36950,1392335,53129366525,5090956697750,133445785,STK
107,062040,KR7062040001,산일전기,KOSPI,,166300,2,-4400,-2.58,182400,185500,165600,592845,102523752350,5079666760000,30545200,STK
108,066970,KR7066970005,엘앤에프,KOSPI,,124900,1,400,0.32,124500,126000,122200,401178,49949375750,5030160899400,40273506,STK
109,251270,KR7251270005,넷마블,KOSPI,,57400,2,-100,-0.17,57700,57900,56500,196719,11294246000,4933731014800,85953502,STK
110,450080,KR7450080007,에코프로머티,KOSPI,,69900,1,2700,4.02,68300,71500,67500,1888092,132115274100,4932056904600,70558754,STK
111,018880,KR7018880005,한온시스템,KOSPI,,4530,2,-40,-0.88,4575,4930,4520,53030499,249426515615,4648969360560,1026262552,STK
112,082740,KR7082740002,한화엔진,KOSPI,,55100,2,-300,-0.54,55600,56000,54800,403590,22342214300,4597937524200,83447142,STK
113,088350,KR7088350004,한화생명,KOSPI,,5180,2,-140,-2.63,5350,5700,5160,46934533,253126251130,4498985400000,868530000,STK
114,011790,KR7011790003,SKC,KOSPI,,113700,1,800,0.71,114100,114700,111600,306626,34823498800,4305625482600,37868298,STK
115,017800,KR7017800004,현대엘리베이터,KOSPI,,109000,2,-2100,-1.89,111400,111400,108200,593591,64987898000,4261069965000,39092385,STK
116,035250,KR7035250000,강원랜드,KOSPI,,19530,1,120,0.62,19440,19570,19280,564015,10980849160,4178257965000,213940500,STK
117,051900,KR7051900009,LG생활건강,KOSPI,,268000,2,-1500,-0.56,270000,271000,266500,75532,20253657250,4101059012000,15302459,STK
118,111770,KR7111770004,영원무역,KOSPI,,92000,1,500,0.55,91100,94000,89000,123840,11373314850,4076655056000,44311468,STK
119,036460,KR7036460004,한국가스공사,KOSPI,,43800,2,-450,-1.02,44650,44900,43600,411953,18234749050,4043309400000,92313000,STK
120,103590,KR7103590006,일진전기,KOSPI,,84600,1,2400,2.92,95600,98000,84200,2452632,220392635900,4034183994000,47685390,STK
121,011780,KR7011780004,금호석유화학,KOSPI,,152900,1,1800,1.19,150800,155100,147500,149963,22821065700,3980253351800,26031742,STK
122,302440,KR7302440003,SK바이오사이언스,KOSPI,,50500,1,100,0.2,50500,50700,50000,105053,5287644750,3960952400500,78434701,STK
123,000990,KR7000990002,DB하이텍,KOSPI,,90900,2,-500,-0.55,90500,93300,89900,337004,30739766950,3954567049200,43504588,STK
124,031210,KR7031210008,서울보증보험,KOSPI,,56500,2,-1800,-3.09,58900,58900,56000,179372,10175493950,3944920287000,69821598,STK
125,004990,KR7004990008,롯데지주,KOSPI,,37600,1,300,0.8,37500,38800,36150,767078,28664940475,3944587311200,104909237,STK
126,011170,KR7011170008,롯데케미칼,KOSPI,,90300,2,-1200,-1.31,90800,92500,87900,373776,33723949250,3862620335700,42775419,STK
127,001720,KR7001720002,신영증권,KOSPI,,233000,2,-4500,-1.89,240000,243500,225500,119593,27759429750,3830520000000,16440000,STK
128,489790,KR7489790006,한화비전,KOSPI,,75800,2,-4600,-5.72,82900,83000,75000,3403313,265246231400,3827019962000,50488390,STK
129,439260,KR7439260001,대한조선,KOSPI,,94400,1,100,0.11,96200,98000,93900,407261,39005808500,3636883852800,38526312,STK
130,047040,KR7047040001,대우건설,KOSPI,,8750,1,640,7.89,8270,9120,8200,41984242,367582748655,3636698082500,415622638,STK
131,012510,KR7012510004,더존비즈온,KOSPI,,119100,1,300,0.25,119000,119200,119000,333249,39678340300,3618589574400,30382784,STK
132,014680,KR7014680003,한솔케미칼,KOSPI,,319000,1,3000,0.95,317500,325000,315500,47198,15075780500,3615927205000,11335195,STK
133,004170,KR7004170007,신세계,KOSPI,,363500,1,8500,2.39,355500,365000,347000,79156,28144360750,3506023293500,9645181,STK
134,012750,KR7012750006,에스원,KOSPI,,92100,2,-900,-0.97,92200,93500,91200,61243,5668819600,3499724293800,37999178,STK
135,009970,KR7009970005,영원무역홀딩스,KOSPI,,250000,1,18500,7.99,229000,253000,228500,28530,7013766000,3374809250000,13499237,STK
136,005850,KR7005850003,에스엘,KOSPI,,72200,1,11000,17.97,63000,72700,62500,1037996,71620331350,3353583144000,46448520,STK
137,097950,KR7097950000,CJ제일제당,KOSPI,,219500,3,0,0.0,221000,221500,218500,58274,12826603500,3304393827000,15054186,STK
138,139130,KR7139130009,iM금융지주,KOSPI,,20350,2,-50,-0.25,20500,20650,20100,711082,14511057200,3268710264050,160624583,STK
139,103140,KR7103140000,풍산,KOSPI,,116100,1,500,0.43,116100,117500,113600,238925,27688519500,3253618675800,28024278,STK
140,008930,KR7008930000,한미사이언스,KOSPI,,46700,2,-4000,-7.89,50100,50400,46000,950710,45813192075,3193885385000,68391550,STK
141,009420,KR7009420001,한올바이오파마,KOSPI,,60800,2,-1200,-1.94,61600,64000,60600,386212,23841069900,3176230790400,52240638,STK
142,023530,KR7023530009,롯데쇼핑,KOSPI,,112200,1,500,0.45,111600,112800,109600,107550,11979820500,3173998311000,28288755,STK
143,001450,KR7001450006,현대해상,KOSPI,,35450,1,150,0.42,35500,35950,34800,1014413,35891923450,3169230000000,89400000,STK
144,000240,KR7000240002,한국앤컴퍼니,KOSPI,,33300,1,250,0.76,33200,33700,32500,134445,4454243100,3161343492000,94935240,STK
145,457190,KR7457190007,이수스페셜티케미컬,KOSPI,,104100,1,6600,6.77,101900,112100,99300,1178996,125005866650,3145233261600,30213576,STK
146,353200,KR7353200009,대덕전자,KOSPI,,63300,2,-1700,-2.62,66900,69000,63000,1882041,122234794250,3128091352500,49416925,STK
147,000120,KR7000120006,CJ대한통운,KOSPI,,136000,2,-2800,-2.02,138800,139000,135500,83691,11417977750,3102478784000,22812344,STK
148,071970,KR7071970008,HD현대마린엔진,KOSPI,,89400,2,-200,-0.22,89900,90400,88700,178964,16002383650,3032581653000,33921495,STK
149,139480,KR7139480008,이마트,KOSPI,,108600,1,400,0.37,108600,109900,108300,333576,36311392100,2996905943400,27595819,STK
150,00680K,KR700680K019,미래에셋증권2우B,KOSPI,,21800,1,1200,5.83,21700,22100,20500,1980372,42290778700,2979590907600,136678482,STK
151,204320,KR7204320006,HL만도,KOSPI,,62200,1,2100,3.49,61100,64200,60400,1545295,97062409550,2920732864000,46957120,STK
152,004800,KR7004800009,효성,KOSPI,,172800,1,2700,1.59,173000,177600,166600,55282,9565720300,2892742329600,16740407,STK
153,026960,KR7026960005,동서,KOSPI,,28850,2,-400,-1.37,29250,29400,28700,113107,3267366625,2876345000000,99700000,STK
154,028670,KR7028670008,팬오션,KOSPI,,5350,2,-50,-0.93,5400,5490,5220,3775651,20288683445,2859946889200,534569512,STK
155,005440,KR7005440003,현대지에프홀딩스,KOSPI,,18240,2,-510,-2.72,18410,19790,17620,4299731,80434622075,2843694450240,155904301,STK
156,051600,KR7051600005,한전KPS,KOSPI,,62400,1,300,0.48,63500,63500,62000,323656,20271697000,2808000000000,45000000,STK
157,081660,KR7081660003,미스토홀딩스,KOSPI,,52700,1,600,1.15,51300,53300,50600,155873,8200343900,2797939968000,53091840,STK
158,003690,KR7003690005,코리안리,KOSPI,,14270,2,-120,-0.83,14210,14520,14100,933685,13368769480,2780096112370,194821031,STK
159,383220,KR7383220001,F&F,KOSPI,,72300,1,1500,2.12,70900,73600,70000,149003,10807376700,2769601522500,38307075,STK
160,010060,KR7010060002,OCI홀딩스,KOSPI,,147700,2,-3200,-2.12,150600,151700,146800,151291,22462408550,2757593266400,18670232,STK
161,004370,KR7004370003,농심,KOSPI,,448500,2,-4500,-0.99,454000,454000,446500,33947,15233683500,2728064937000,6082642,STK
162,085620,KR7085620003,미래에셋생명,KOSPI,,14880,2,-230,-1.52,15480,15580,14210,2431099,36325267740,2634000892320,177016189,STK
163,002790,KR7002790004,아모레퍼시픽홀딩스,KOSPI,,32550,2,-750,-2.25,33300,33300,32400,196379,6405302750,2586363759000,79458180,STK
164,023590,KR7023590003,다우기술,KOSPI,,56800,2,-1200,-2.07,59000,59100,56400,104540,5984452600,2548423845600,44866617,STK
165,030000,KR7030000004,제일기획,KOSPI,,22100,1,50,0.23,22300,22350,21800,403996,8883220200,2542411072500,115041225,STK
166,001430,KR7001430008,세아베스틸지주,KOSPI,,70500,3,0,0.0,71700,73400,70200,244230,17440037250,2528279389500,35862119,STK
167,069960,KR7069960003,현대백화점,KOSPI,,111500,1,2300,2.11,109200,112900,108600,112769,12574067600,2523112649500,22628813,STK
168,011210,KR7011210002,현대위아,KOSPI,,92200,1,5900,6.84,86900,94200,86800,670364,61367533250,2507386652600,27195083,STK
169,336260,KR7336260005,두산퓨얼셀,KOSPI,,38100,1,1250,3.39,37850,39750,37300,1152161,44554889225,2495310960600,65493726,STK
170,020150,KR7020150009,롯데에너지머티리얼즈,KOSPI,,45700,1,1050,2.35,45600,46950,45100,423895,19575006350,2393101659100,52365463,STK
171,282330,KR7282330000,BGF리테일,KOSPI,,136900,2,-300,-0.22,137300,138000,136000,45688,6251015200,2366166731400,17283906,STK
172,003540,KR7003540002,대신증권,KOSPI,,46150,2,-700,-1.49,47000,48200,45300,568470,26311497025,2343192410000,50773400,STK
173,097230,KR7097230007,HJ중공업,KOSPI,,25800,1,850,3.41,25200,26550,24750,2012669,52098221750,2329619875200,90295344,STK
174,000155,KR7000151001,두산우,KOSPI,,573000,1,15000,2.69,558000,590000,552000,35897,20581670000,2289972726000,3996462,STK
175,361610,KR7361610009,SK아이이테크놀로지,KOSPI,,27850,1,550,2.01,27500,28550,27000,287796,7963046000,2277770735000,81787100,STK
176,112610,KR7112610001,씨에스윈드,KOSPI,,53800,1,3950,7.92,51100,55800,50800,1384193,74596901600,2268821481400,42171403,STK
177,018670,KR7018670000,SK가스,KOSPI,,239000,2,-6500,-2.65,248000,248000,239000,19774,4791704500,2209613316000,9245244,STK
178,192820,KR7192820009,코스맥스,KOSPI,,192900,2,-3300,-1.68,196400,197100,190700,97792,18790472550,2189320286100,11349509,STK
179,069620,KR7069620003,대웅제약,KOSPI,,185100,2,-8900,-4.59,193600,193600,185000,46349,8646289850,2144675032500,11586575,STK
180,017960,KR7017960006,한국카본,KOSPI,,41050,2,-450,-1.08,42800,44450,40350,1153249,48156728775,2130841954600,51908452,STK
181,483650,KR7483650008,달바글로벌,KOSPI,,170300,2,-800,-0.47,171200,171200,168000,126104,21362076700,2110470849500,12392665,STK
182,073240,KR7073240004,금호타이어,KOSPI,,7190,2,-20,-0.28,7280,7280,7070,909109,6504465180,2065401463530,287260287,STK
183,006360,KR7006360002,GS건설,KOSPI,,23950,1,700,3.01,23350,24300,23150,1219903,29198432175,2049676685500,85581490,STK
184,000500,KR7000500009,가온전선,KOSPI,,122000,1,24100,24.62,119900,127200,113900,605022,74316730650,2018260030000,16543115,STK
185,375500,KR7375500006,DL이앤씨,KOSPI,,52000,1,600,1.17,51800,53600,51300,586811,30738817050,2012068396000,38693623,STK
186,005070,KR7005070008,코스모신소재,KOSPI,,61000,1,1100,1.84,62000,63800,60300,572565,35334321200,1983156116000,32510756,STK
187,006280,KR7006280002,녹십자,KOSPI,,168600,2,-8300,-4.69,176900,177600,166800,118842,20183715300,1970350306800,11686538,STK
188,462870,KR7462870007,시프트업,KOSPI,,33400,2,-350,-1.04,33900,33900,33400,65434,2192597675,1970076956000,58984340,STK
189,007070,KR7007070006,GS리테일,KOSPI,,23500,1,900,3.98,22650,23700,22550,341616,7969825575,1964774252500,83607415,STK
190,006040,KR7006040000,동원산업,KOSPI,,44250,2,-1200,-2.64,46000,46000,44050,102678,4577781275,1953548380500,44147986,STK
191,003570,KR7003570009,SNT다이내믹스,KOSPI,,58400,1,100,0.17,58500,59200,56000,115811,6677381050,1941957504800,33252697,STK
192,032350,KR7032350001,롯데관광개발,KOSPI,,23850,2,-850,-3.44,24750,24750,23350,1014684,24083237250,1898495154900,79601474,STK
193,008770,KR7008770000,호텔신라,KOSPI,,48200,2,-50,-0.1,48400,48450,47700,265369,12730543425,1891759432200,39248121,STK
194,001120,KR7001120005,LX인터내셔널,KOSPI,,48450,3,0,0.0,48600,49750,48400,253819,12452043200,1877922000000,38760000,STK
195,034230,KR7034230003,파라다이스,KOSPI,,19620,2,-370,-1.85,20050,20050,18900,1119378,21692810670,1812997067580,92405559,STK
196,298020,KR7298020009,효성티앤씨,KOSPI,,414500,1,36500,9.66,380000,424000,378000,63719,25983564000,1793824189000,4327682,STK
197,120110,KR7120110002,코오롱인더,KOSPI,,64300,1,2600,4.21,61400,67000,60500,524242,34064906900,1769477551300,27519091,STK
198,003530,KR7003530003,한화투자증권,KOSPI,,8200,2,-190,-2.26,8500,8560,8100,9121559,75674041230,1759291755000,214547775,STK
199,007340,KR7007340003,DN오토모티브,KOSPI,,29800,2,-700,-2.3,30050,30450,29550,178655,5355952525,1743623777000,58510865,STK
200,030610,KR7030610000,교보증권,KOSPI,,15010,2,-10,-0.07,15290,15470,14940,273585,4149220290,1710584044610,113962961,STK
