,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
38,030530,KR7030530000,원익홀딩스,KOSDAQ,중견기업부,34050,2,-800,-2.3,34900,35200,33700,1554195,53415843950,2629953253050,77237981,KSQ
39,440110,KR7440110005,파두,KOSDAQ,기술성장기업부,50400,2,-800,-1.56,51200,53000,49950,754519,38421369325,2520531064800,50010537,KSQ
40,035900,KR7035900000,JYP Ent.,KOSDAQ GLOBAL,우량기업부,70800,3,0,0.0,71200,71400,70700,249070,17685764900,2515700433600,35532492,KSQ
41,036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,53000,2,-2800,-5.02,56800,57100,52600,1313489,71236762450,2505221013000,47268321,KSQ
42,290650,KR7290650001,엘앤씨바이오,KOSDAQ,우량기업부,97900,2,-20400,-17.24,120000,125000,97000,1333062,139247301150,2432037967700,24842063,KSQ
43,064760,KR7064760002,티씨케이,KOSDAQ GLOBAL,우량기업부,212000,2,-1500,-0.7,222500,228000,207500,94946,20427724500,2370036192000,11179416,KSQ
44,067310,KR7067310003,하나마이크론,KOSDAQ,중견기업부,33850,2,-1000,-2.87,35100,35700,33500,1606960,55252823100,2248112241350,66413951,KSQ
45,323280,KR7323280008,태성,KOSDAQ,중견기업부,71800,3,0,0.0,73900,75200,70500,263843,19291323100,2192626964000,30537980,KSQ
46,491000,KR7491000006,리브스메드,KOSDAQ,기술성장기업부,86600,1,4400,5.35,82300,87700,81000,731384,62495131100,2160963660600,24953391,KSQ
47,347700,KR7347700007,스피어,KOSDAQ,기술성장기업부,45600,2,-50,-0.11,45050,46500,43550,1501793,67646075550,2151705494400,47186524,KSQ
48,098460,KR7098460009,고영,KOSDAQ,우량기업부,31050,2,-850,-2.66,32150,32650,30650,2081516,65623569025,2131730142750,68654755,KSQ
49,039200,KR7039200001,오스코텍,KOSDAQ,벤처기업부,54400,1,100,0.18,54900,55800,53100,180355,9812429900,2081244774400,38258176,KSQ
50,178320,KR7178320008,서진시스템,KOSDAQ,벤처기업부,35550,2,-2200,-5.83,38150,38200,35250,2275827,82737030925,2062529341650,58017703,KSQ
51,160190,KR7160190005,하이젠알앤엠,KOSDAQ,중견기업부,65200,2,-2200,-3.26,68400,68600,65200,97146,6434975850,2013897600000,30888000,KSQ
52,065350,KR7065350001,신성델타테크,KOSDAQ,우량기업부,73100,2,-3300,-4.32,76800,77000,73000,162169,12083928250,2009076598800,27483948,KSQ
53,085660,KR7085660009,차바이오텍,KOSDAQ,중견기업부,21250,2,-150,-0.7,21400,21900,20900,551024,11790824775,1957508371250,92118041,KSQ
54,476830,KR7476830005,알지노믹스,KOSDAQ,기술성장기업부,140000,1,3100,2.26,136200,143900,130900,220358,30545070500,1950737880000,13933842,KSQ
55,458870,KR7458870003,씨어스테크놀로지,KOSDAQ,기술성장기업부,153000,1,2000,1.32,150800,155000,149800,59746,9083653300,1937879640000,12665880,KSQ
56,222800,KR7222800005,심텍,KOSDAQ GLOBAL,우량기업부,51400,1,100,0.19,52300,52900,50900,466676,24069929100,1919390005200,37342218,KSQ
57,140860,KR7140860008,파크시스템스,KOSDAQ GLOBAL,우량기업부,270500,2,-9500,-3.39,283500,283500,268000,48544,13250221500,1892547028500,6996477,KSQ
58,101490,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,88700,2,-6200,-6.53,95300,95800,86900,436719,39500460400,1892403767300,21334879,KSQ
59,003380,KR7003380003,하림지주,KOSDAQ GLOBAL,우량기업부,16790,1,130,0.78,17200,17620,16420,5816474,99111051685,1880574376590,112005621,KSQ
60,082270,KR7082270000,젬백스,KOSDAQ,벤처기업부,43200,2,-3500,-7.49,47500,47500,43150,301581,13430450850,1843792804800,42680389,KSQ
61,445680,KR7445680002,큐리옥스바이오시스템즈,KOSDAQ,기술성장기업부,106700,2,-4400,-3.96,108600,109400,104100,112913,12092298850,1826686181100,17119833,KSQ
62,099320,KR7099320004,쎄트렉아이,KOSDAQ,우량기업부,166400,2,-12100,-6.78,174500,175700,164900,407727,68176364450,1822292659200,10951278,KSQ
63,090710,KR7090710005,휴림로봇,KOSDAQ,중견기업부,14720,1,430,3.01,14530,14790,14310,7101208,102925114530,1758409939840,119457197,KSQ
64,043260,KR7043260009,성호전자,KOSDAQ,우량기업부,24600,1,1600,6.96,24050,27750,23500,4057497,103727154275,1744701445800,70922823,KSQ
65,466100,KR7466100005,클로봇,KOSDAQ,기술성장기업부,69100,1,1800,2.67,68800,70600,67800,382212,26458711700,1726956804900,24992139,KSQ
66,232140,KR7232140004,와이씨,KOSDAQ,우량기업부,20850,2,-450,-2.11,21650,21950,20500,1265825,26550750150,1710645547500,82045350,KSQ
67,048410,KR7048410005,현대바이오,KOSDAQ,중견기업부,17770,4,4100,29.99,13770,17770,13770,12217245,204615772400,1706647859200,96040960,KSQ
68,031980,KR7031980006,피에스케이홀딩스,KOSDAQ,우량기업부,79100,2,-11500,-12.69,90700,90700,77600,428317,35221614150,1705585444500,21562395,KSQ
69,397030,KR7397030008,에이프릴바이오,KOSDAQ,기술성장기업부,73000,1,6900,10.44,66500,73600,65500,608897,43016528700,1704011698000,23342626,KSQ
70,038500,KR7038500005,삼표시멘트,KOSDAQ,우량기업부,15750,1,1240,8.55,14690,16700,14200,18847044,295170401770,1699681819500,107916306,KSQ
71,348370,KR7348370008,엔켐,KOSDAQ,중견기업부,76100,2,-4200,-5.23,81500,82500,76000,189071,14740359250,1662795501800,21850138,KSQ
72,060370,KR7060370004,LS마린솔루션,KOSDAQ,우량기업부,31700,1,1100,3.59,31100,32100,30600,432522,13579285800,1655971671800,52238854,KSQ
73,035760,KR7035760008,CJ ENM,KOSDAQ GLOBAL,중견기업부,75300,2,-200,-0.26,75700,76400,74700,67395,5085123600,1651265296200,21929154,KSQ
74,319660,KR7319660007,피에스케이,KOSDAQ GLOBAL,우량기업부,56500,2,-4100,-6.77,61600,61700,56200,479680,27878989300,1636619341000,28966714,KSQ
75,089030,KR7089030001,테크윙,KOSDAQ,중견기업부,44050,2,-2000,-4.34,46850,46850,43850,988993,44485069075,1632213062250,37053645,KSQ
76,195940,KR7195940002,HK이노엔,KOSDAQ GLOBAL,우량기업부,57600,1,700,1.23,57400,58100,56300,160751,9207785200,1631801721600,28329891,KSQ
77,437730,KR7437730005,삼현,KOSDAQ,기술성장기업부,51300,1,2150,4.37,53900,54000,49700,721127,37206930200,1626598187100,31707567,KSQ
78,456160,KR7456160001,지투지바이오,KOSDAQ,기술성장기업부,97200,1,7700,8.6,90400,101100,90400,1596113,154771509050,1596078432000,16420560,KSQ
79,218410,KR7218410009,RFHIC,KOSDAQ,우량기업부,59000,2,-4200,-6.65,64000,64000,58500,431153,26141884700,1563703078000,26503442,KSQ
80,080220,KR7080220007,제주반도체,KOSDAQ,우량기업부,45150,2,-550,-1.2,46300,47000,43400,2689460,121219287700,1555093909950,34442833,KSQ
81,007390,KR7007390008,네이처셀,KOSDAQ,중견기업부,23050,2,-650,-2.74,23650,24300,23000,347684,8198834225,1485228040800,64435056,KSQ
82,078600,KR7078600004,대주전자재료,KOSDAQ,우량기업부,94000,1,1600,1.73,95500,96300,93400,324363,30741134900,1455175742000,15480593,KSQ
83,388210,KR7388210007,씨엠티엑스,KOSDAQ,벤처기업부,149000,2,-3500,-2.3,158400,158700,147900,229166,34630168500,1417725762000,9514938,KSQ
84,281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,21550,2,-1400,-6.1,23100,23700,21300,1727267,37912466575,1416493309400,65730548,KSQ
85,253450,KR7253450001,스튜디오드래곤,KOSDAQ GLOBAL,우량기업부,47100,3,0,0.0,47450,47650,46800,62975,2965753850,1415755255800,30058498,KSQ
86,096530,KR7096530001,씨젠,KOSDAQ,우량기업부,27000,2,-450,-1.64,27600,27700,26950,184156,5013881700,1410101838000,52225994,KSQ
87,293490,KR7293490009,카카오게임즈,KOSDAQ GLOBAL,중견기업부,15370,2,-340,-2.16,15850,15850,15360,197203,3074455580,1380024822070,89786911,KSQ
88,204270,KR7204270003,제이앤티씨,KOSDAQ,중견기업부,23700,1,2050,9.47,22000,25000,22000,762874,18098723000,1371008644200,57848466,KSQ
89,122870,KR7122870009,와이지엔터테인먼트,KOSDAQ,우량기업부,73100,2,-200,-0.27,74200,74900,73000,181547,13384010150,1366315681900,18691049,KSQ
90,388720,KR7388720005,유일로보틱스,KOSDAQ,벤처기업부,115700,2,-3600,-3.02,118800,119800,115000,98566,11502340550,1353319181500,11696795,KSQ
91,095610,KR7095610002,테스,KOSDAQ,우량기업부,69500,2,-4300,-5.83,76500,76500,68600,550399,39258941600,1345520000000,19360000,KSQ
92,056080,KR7056080005,유진로봇,KOSDAQ,중견기업부,35700,2,-1400,-3.77,37250,37750,35500,1047807,37868964675,1339183826400,37512152,KSQ
93,100790,KR7100790005,미래에셋벤처투자,KOSDAQ,우량기업부,23550,1,250,1.07,23650,25900,23300,4179546,102925603275,1251085130700,53124634,KSQ
94,328130,KR7328130000,루닛,KOSDAQ,기술성장기업부,42600,2,-500,-1.16,44000,44250,42200,219636,9492249625,1247519785200,29284502,KSQ
95,131970,KR7131970006,두산테스나,KOSDAQ GLOBAL,우량기업부,64500,1,500,0.78,66400,67900,63400,277552,18338149200,1246606851000,19327238,KSQ
96,137400,KR7137400008,피엔티,KOSDAQ GLOBAL,우량기업부,51800,2,-1500,-2.81,54500,54800,51400,264813,13894082300,1227179710400,23690728,KSQ
97,189300,KR7189300007,인텔리안테크,KOSDAQ,우량기업부,114100,2,-7400,-6.09,119900,119900,112500,238406,27454449100,1225148407700,10737497,KSQ
98,127120,KR7127120004,제이에스링크,KOSDAQ,벤처기업부,37300,1,800,2.19,35150,38250,35150,289585,10639288300,1223039062300,32789251,KSQ
99,115180,KR7115180002,큐리언트,KOSDAQ,벤처기업부,32750,1,450,1.39,32750,33400,32100,124490,4075659800,1218033644250,37191867,KSQ
100,124500,KR7124500000,아이티센글로벌,KOSDAQ,중견기업부,51900,1,4200,8.81,49000,53100,48250,476753,24468341100,1204314951300,23204527,KSQ
101,174900,KR7174900001,앱클론,KOSDAQ,관리종목(소속부없음),59400,1,5100,9.39,54500,61100,53700,340981,19820155150,1183575294000,19925510,KSQ
102,056190,KR7056190002,에스에프에이,KOSDAQ GLOBAL,우량기업부,32850,1,1250,3.96,32800,33650,32250,234048,7720699900,1179602766000,35908760,KSQ
103,032190,KR7032190001,다우데이타,KOSDAQ,우량기업부,30600,1,700,2.34,31150,31450,29500,381990,11636131750,1171980000000,38300000,KSQ
104,036540,KR7036540003,SFA반도체,KOSDAQ,우량기업부,7120,2,-190,-2.6,7340,7370,7040,3054098,21935708080,1170957357360,164460303,KSQ
105,166090,KR7166090001,하나머티리얼즈,KOSDAQ GLOBAL,우량기업부,58900,2,-2700,-4.38,62800,62800,58300,278985,16607584700,1164904998600,19777674,KSQ
106,171090,KR7171090004,선익시스템,KOSDAQ,중견기업부,119300,2,-11700,-8.93,126800,129200,117000,359137,44013628000,1145632531500,9602955,KSQ
107,183300,KR7183300003,코미코,KOSDAQ GLOBAL,우량기업부,109300,2,-2600,-2.32,114200,114200,108000,90459,10007705500,1143352761200,10460684,KSQ
108,161580,KR7161580006,필옵틱스,KOSDAQ,중견기업부,48800,2,-250,-0.51,49600,50300,48150,314374,15498226600,1142054053600,23402747,KSQ
109,417200,KR7417200003,LS머트리얼즈,KOSDAQ,중견기업부,16780,1,680,4.22,16240,17180,16120,2616457,43786186060,1135211618020,67652659,KSQ
110,006730,KR7006730006,서부T&D,KOSDAQ,우량기업부,17310,1,60,0.35,17750,17920,17210,1303925,22697956765,1123885037130,64926923,KSQ
111,213420,KR7213420003,덕산네오룩스,KOSDAQ GLOBAL,우량기업부,44000,1,400,0.92,44000,45450,43400,239177,10643946325,1092571876000,24831179,KSQ
112,036830,KR7036830008,솔브레인홀딩스,KOSDAQ GLOBAL,우량기업부,51700,2,-2200,-4.08,54600,55000,51500,59421,3133834500,1083841695200,20964056,KSQ
113,014620,KR7014620009,성광벤드,KOSDAQ,우량기업부,39800,2,-300,-0.75,40850,41200,39550,174879,7024494475,1056983087200,26557364,KSQ
114,052400,KR7052400009,코나아이,KOSDAQ,우량기업부,69700,1,5100,7.89,66200,71100,64400,380175,26243060400,1015061382700,14563291,KSQ
