Symbol,Name,Market
SEA,Seabridge Gold Inc.,TSX
SGML,Sigma Lithium Corporation,TSX
SGQ,SouthGobi Resources Ltd.,TSX
SHOP,Shopify Inc.,TSX
SII,Sprott Inc.,TSX
SKE,Skeena Resources Limited,TSX
SLF,Sun Life Financial Inc.,TSX
SLI,Standard Lithium Ltd.,TSX
SLR,Solitario Resources Corp.,TSX
SLS,Solaris Resources Inc.,TSX
SNM,ShaMaran Petroleum Corp.,TSX
SOBO,South Bow Corporation,TSX
SOU,Southern Energy Corp.,TSX
SOY,SunOpta Inc.,TSX
SPPP.U,Sprott Physical Platinum and Palladium Trust,TSX
SSRM,SSR Mining Inc.,TSX
SSV,Southern Silver Exploration Corp.,TSX
STC,Sangoma Technologies Corporation,TSX
STN,Stantec Inc.,TSX
SU,Suncor Energy Inc.,TSX
SVM,Silvercorp Metals Inc.,TSX
SWA,Sarama Resources Ltd.,TSX
SXGC,Southern Cross Gold Consolidated Ltd.,TSX
T,TELUS Corporation,TSX
TA,TransAlta Corporation,TSX
TAL,PetroTal Corp.,TSX
TC,Tucows Inc.,TSX
TD,Toronto-Dominion Bank (The),TSX
TECK.B,Teck Resources Limited,TSX
TFII,TFI International Inc.,TSX
TFPM,Triple Flag Precious Metals Corp.,TSX
THX,Thor Explorations Ltd.,TSX
TI,Titan Mining Corporation,TSX
TK,Tinka Resources Limited,TSX
TKO,Taseko Mines Limited,TSX
"""TLRY","Tilray Brands, Inc.",TSX
TMQ,Trilogy Metals Inc.,TSX
TRI,Thomson Reuters Corporation,TSX
TRP,TC Energy Corporation,TSX
TRX,TRX Gold Corporation,TSX
TSAT,Telesat Corporation,TSX
TXP,Touchstone Exploration Inc.,TSX
URC,Uranium Royalty Corp.,TSX
URE,Ur-Energy Inc.,TSX
USA,Americas Gold and Silver Corporation,TSX
VBNK,VersaBank,TSX
VET,Vermilion Energy Inc.,TSX
VGZ,Vista Gold Corp.,TSX
VOXR,Vox Royalty Corp.,TSX
VZLA,Vizsla Silver Corp.,TSX
"""WCN","Waste Connections, Inc.",TSX
WEED,Canopy Growth Corporation,TSX
WFG,West Fraser Timber Co. Ltd.,TSX
WGX,Westgold Resources Limited,TSX
WML,Wealth Minerals Ltd.,TSX
WPM,Wheaton Precious Metals Corp.,TSX
WPRT,Westport Fuel Systems Inc.,TSX
WRN,Western Copper and Gold Corporation,TSX
XRTX,XORTX Therapeutics Inc.,TSX
ZEN,Zentek Ltd.,TSX
